Name,Code,Type,DrainArea,SubBasin,City,State,Responsib,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,QScore,QLabel,IsStudy
TABATINGA,10100000,1,874000.0,10,TABATINGA,AMAZONAS,ANA,-4.2347,-69.9447,1995-01-01,2017-04-30,23,3.0,17,26.1,0.6795,Moderada,0
PALMEIRAS DO JAVARI,10200000,1,16500.0,10,ATALAIA DO NORTE,AMAZONAS,ANA,-5.1389,-72.8136,1982-11-22,2020-01-31,39,5.2,25,35.9,0.8963,Excelente,0
SANTA MARIA/FLORES,10300000,1,25200.0,10,ATALAIA DO NORTE,AMAZONAS,ANA,-4.5397,-71.4003,1980-09-24,2020-01-31,41,37.2,9,78.0,0.7168,Moderada,0
ESTIRÃO DO REPOUSO,10500000,1,61400.0,10,ATALAIA DO NORTE,AMAZONAS,ANA,-4.3408,-70.9056,1980-09-22,2020-01-31,41,2.8,31,24.4,0.9232,Excelente,0
SERINGAL DO ITUI,10800000,1,19200.0,10,ATALAIA DO NORTE,AMAZONAS,ANA,-4.7333,-70.3,1980-09-28,1992-02-06,13,3.1,10,23.1,0.4439,Limitada,0
LADÁRIO,10900000,1,19200.0,10,ATALAIA DO NORTE,AMAZONAS,ANA,-4.7333,-70.3,1979-02-04,1994-06-07,16,2.1,13,18.8,0.4874,Limitada,0
LADÁRIO - JUSANTE,10910000,1,36900.0,10,ATALAIA DO NORTE,AMAZONAS,ANA,-4.5836,-70.2644,1997-06-21,2020-01-31,24,2.5,17,29.2,0.725,Moderada,0
SÃO PAULO DE OLIVENÇA,11400000,1,1010000.0,11,SÃO PAULO DE OLIVEN,AMAZONAS,ANA,-3.4569,-68.9119,1973-07-18,2019-11-30,47,2.6,37,21.3,0.9144,Excelente,0
IPIRANGA NOVO,11444900,1,106000.0,11,SANTO ANTÔNIO DO IÇ,AMAZONAS,ANA,-2.9297,-69.6931,1993-04-01,2015-09-30,23,7.5,9,60.9,0.6325,Moderada,0
IPIRANGA VELHO,11450000,1,107000.0,11,SANTO ANTÔNIO DO IÇ,AMAZONAS,ANA,-2.9417,-69.5228,1979-02-10,2011-10-31,33,13.2,12,63.6,0.6833,Moderada,0
