Code,Name,Type,DrainArea,SubBasin,City,State,Responsib,Operator,Latitude,Longitude,Altitude,River,StartDate,EndDate,Status,Origem,IsStudy
10075000,TAMISHIYACU,1,8985.0,10,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,-4.0036,-73.1611,105.0,RIO SOLIMÕES-AMAZONAS,1983-10-01,,Ativo,RHN,0
10086700,MAZAN,1,,10,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,-3.4881,-73.0819,,RIO NAPO,2018-08-01,,Ativo,RHN,0
10100000,TABATINGA,1,874000.0,10,TABATINGA,AMAZONAS,ANA,SGB-CPRM,-4.2347,-69.9447,78.0,RIO SOLIMÕES-AMAZONAS,1982-07-01,,Ativo,RHN,0
10500000,ESTIRÃO DO REPOUSO,1,61400.0,10,ATALAIA DO NORTE,AMAZONAS,ANA,ÁGUA E SOLO,-4.3408,-70.9056,89.0,RIO JAVARI,1980-09-01,,Ativo,RHN,0
10910000,LADÁRIO - JUSANTE,1,36900.0,10,ATALAIA DO NORTE,AMAZONAS,ANA,ÁGUA E SOLO,-4.5836,-70.2644,91.0,RIO ITACUAI,1997-06-01,,Ativo,RHN,0
11400000,SÃO PAULO DE OLIVENÇA,1,1010000.0,11,SÃO PAULO DE OLIVEN,AMAZONAS,ANA,ÁGUA E SOLO,-3.4569,-68.9119,71.0,RIO SOLIMÕES-AMAZONAS,1973-07-01,,Ativo,RHN,0
11500000,SANTO ANTÔNIO DO IÇÁ,1,1130000.0,11,SANTO ANTÔNIO DO IÇ,AMAZONAS,ANA,ÁGUA E SOLO,-3.1017,-67.9356,53.0,RIO SOLIMÕES-AMAZONAS,1973-07-01,,Ativo,RHN,0
12100000,COLOCAÇÃO CAXIAS NOVO,1,20300.0,12,JUTAÍ,AMAZONAS,ANA,ÁGUA E SOLO,-4.6661,-68.1483,,RIO JUTAÍ,1982-07-01,,Ativo,RHN,0
12240000,PORTO SEGURO,1,64400.0,12,JUTAÍ,AMAZONAS,ANA,ÁGUA E SOLO,-3.3372,-67.4917,,RIO JUTAÍ,1997-05-01,,Ativo,RHN,0
12351000,FONTE BOA,1,1220000.0,12,FONTE BOA,AMAZONAS,ANA,ÁGUA E SOLO,-2.4914,-66.0617,,RIO SOLIMÕES-AMAZONAS,1977-11-01,,Ativo,RHN,0
12370000,THAUMATURGO,1,16100.0,12,MARECHAL THAUMATURG,ACRE,ANA,ÁGUA E SOLO,-8.9458,-72.7847,,RIO JURUÁ,1981-04-01,,Ativo,RHN,0
12390000,PORTO WALTER,1,22200.0,12,PORTO WALTER,ACRE,ANA,ÁGUA E SOLO,-8.2672,-72.7411,,RIO JURUÁ,1997-03-01,,Ativo,RHN,0
12500000,CRUZEIRO DO SUL,1,37800.0,12,CRUZEIRO DO SUL,ACRE,ANA,ÁGUA E SOLO,-7.6333,-72.6603,,RIO JURUÁ,1967-06-01,,Ativo,RHN,0
12510500,PONTE DO RIO LIBERDADE,1,3450.0,12,TARAUACÁ,ACRE,ANA,ÁGUA E SOLO,-7.7994,-72.0211,189.0,RIO LIBERDADE,2013-12-01,,Ativo,RHN,0
12520000,IPIXUNA,1,56100.0,12,IPIXUNA,AMAZONAS,ANA,ÁGUA E SOLO,-7.0556,-71.6892,,RIO JURUÁ,1981-10-01,,Ativo,RHN,0
12540000,SERINGAL SANTO AMARO,1,7350.0,12,EIRUNEPÉ,AMAZONAS,ANA,ÁGUA E SOLO,-7.2667,-70.9833,,RIO GREGÓRIO,1997-06-01,,Ativo,RHN,0
12550000,EIRUNEPÉ - MONTANTE,1,77300.0,12,EIRUNEPÉ,AMAZONAS,ANA,ÁGUA E SOLO,-6.6844,-69.8811,,RIO JURUÁ,1979-02-01,,Ativo,RHN,0
12557000,JORDÃO,1,17.05,12,JORDÃO,ACRE,SEMA-AC,SEMA-AC,-9.1883,-71.9525,239.0,RIO TARAUACÁ,2016-10-01,,Ativo,RHN,0
12590000,PONTE DE TARAUACÁ,1,8770.0,12,TARAUACÁ,ACRE,ANA,ÁGUA E SOLO,-8.1519,-70.7456,,RIO TARAUACÁ,2013-11-01,,Ativo,RHN,0
12640000,SERINGAL SANTA HELENA,1,12800.0,12,FEIJÓ,ACRE,ANA,ÁGUA E SOLO,-8.6858,-70.5511,,RIO ENVIRA,1997-02-01,,Ativo,RHN,0
12650000,FEIJÓ,1,17000.0,12,FEIJÓ,ACRE,ANA,ÁGUA E SOLO,-8.1636,-70.3564,,RIO ENVIRA,1980-09-01,,Ativo,RHN,0
12680000,ENVIRA,1,49700.0,12,ENVIRA,AMAZONAS,ANA,ÁGUA E SOLO,-7.4281,-70.0225,,RIO TARAUACÁ,1978-01-01,,Ativo,RHN,0
12700000,SANTOS DUMONT,1,144000.0,12,ITAMARATI,AMAZONAS,ANA,ÁGUA E SOLO,-6.4403,-68.2461,,RIO JURUÁ,1981-04-01,,Ativo,RHN,0
12840000,GAVIÃO,1,164000.0,12,CARAUARI,AMAZONAS,ANA,ÁGUA E SOLO,-4.8392,-66.8506,,RIO JURUÁ,1972-06-01,,Ativo,RHN,0
12842000,FORTE DAS GRAÇAS,1,174000.0,12,JURUÁ,AMAZONAS,ANA,ÁGUA E SOLO,-3.6414,-66.1031,,RIO JURUÁ,1997-07-01,,Ativo,RHN,0
12845000,VILA BITTENCOURT,1,206000.0,12,JAPURÁ,AMAZONAS,ANA,ÁGUA E SOLO,-1.3947,-69.4283,,RIO CAQUETÁ/JAPURÁ,1980-01-01,,Ativo,RHN,0
12850000,ACANAUI,1,249000.0,12,JAPURÁ,AMAZONAS,ANA,ÁGUA E SOLO,-1.8211,-66.6092,,RIO CAQUETÁ/JAPURÁ,1973-07-01,,Ativo,RHN,0
