timestamp,Q_obs_1h,Q_pred_Base_1h,Q_pred_Base_Fixed_1h,Q_pred_Manning_1h,Q_obs_6h,Q_pred_Base_6h,Q_pred_Base_Fixed_6h,Q_pred_Manning_6h,Q_obs_24h,Q_pred_Base_24h,Q_pred_Base_Fixed_24h,Q_pred_Manning_24h,P_mean
2025-06-07 08:00:00,179.335,187.081,125.739,175.143,190.497,188.626,127.035,173.264,174.452,182.608,124.582,168.210,0.009
2025-06-07 09:00:00,187.577,197.605,140.540,185.800,191.333,199.470,142.144,183.062,169.232,192.600,138.916,177.686,0.002
2025-06-07 10:00:00,191.750,203.109,143.814,194.242,193.018,205.285,145.536,191.803,163.680,198.083,141.895,185.935,0.017
2025-06-07 11:00:00,192.173,207.144,143.311,192.191,198.950,209.406,145.234,190.005,159.372,201.836,141.528,184.237,0.011
2025-06-07 12:00:00,191.750,196.924,131.648,182.878,206.258,198.547,133.508,180.806,154.732,191.385,129.999,175.089,0.009
2025-06-07 13:00:00,190.497,193.733,125.903,173.298,213.232,195.427,127.446,171.391,151.670,188.589,124.544,166.268,0.000
2025-06-07 14:00:00,191.333,190.796,122.068,172.705,218.525,192.292,123.698,170.973,148.630,185.384,120.449,165.001,0.002
2025-06-07 15:00:00,193.018,191.785,120.389,173.034,220.745,193.171,122.021,171.597,145.988,186.088,118.642,165.194,0.000
2025-06-07 16:00:00,198.950,195.544,120.927,176.058,221.190,196.927,122.652,174.748,143.747,189.537,119.169,167.794,0.017
2025-06-07 17:00:00,206.258,197.841,118.831,175.310,219.855,199.223,120.465,173.996,141.512,191.628,117.100,166.923,0.015
2025-06-07 18:00:00,213.232,198.170,118.226,174.018,215.432,199.521,119.849,172.647,139.663,191.892,116.519,165.557,0.000
2025-06-07 19:00:00,218.525,198.713,118.150,173.649,210.602,200.042,119.778,172.230,137.460,192.388,116.463,165.094,0.000
2025-06-07 20:00:00,220.745,198.760,118.281,174.207,205.822,200.109,119.925,172.676,134.908,192.437,116.598,165.514,0.000
2025-06-07 21:00:00,221.190,196.328,117.255,171.536,201.518,197.569,118.875,169.937,132.732,190.081,115.605,162.920,0.003
2025-06-07 22:00:00,219.855,193.452,116.705,169.473,195.977,194.611,118.316,167.771,130.575,187.349,115.078,160.882,0.000
2025-06-07 23:00:00,215.432,190.235,116.115,166.868,190.920,191.314,117.707,165.012,129.143,184.326,114.519,158.378,0.000
2025-06-08 00:00:00,210.602,185.989,115.237,163.604,186.327,186.974,116.795,161.618,126.652,180.312,113.661,155.272,0.003
2025-06-08 01:00:00,205.822,181.807,114.750,160.660,180.965,182.710,116.295,158.575,124.185,176.356,113.186,152.444,0.000
2025-06-08 02:00:00,201.518,177.508,114.321,157.507,174.452,178.332,115.856,155.324,122.082,172.302,112.768,149.431,0.000
2025-06-08 03:00:00,195.977,175.471,115.288,155.551,169.232,176.271,116.847,153.291,120.692,170.459,113.770,147.653,0.000
2025-06-08 04:00:00,190.920,169.858,114.130,151.011,163.680,170.568,115.676,148.623,119.305,165.106,112.601,143.271,0.000
2025-06-08 05:00:00,186.327,165.324,113.485,147.720,159.372,165.957,115.012,145.300,117.243,160.826,111.971,140.145,0.000
2025-06-08 06:00:00,180.965,161.324,112.850,144.730,154.732,161.907,114.358,142.263,115.533,157.059,111.344,137.308,0.000
2025-06-08 07:00:00,174.452,157.770,112.161,142.159,151.670,158.322,113.644,139.654,114.170,153.719,110.667,134.879,0.000
2025-06-08 08:00:00,169.232,154.267,111.377,138.598,148.630,154.793,112.834,136.050,112.820,150.427,109.896,131.562,0.000
2025-06-08 09:00:00,163.680,149.066,108.725,137.917,145.988,149.585,110.052,135.356,111.808,145.546,107.293,130.907,0.000
2025-06-08 10:00:00,159.372,144.903,108.064,134.010,143.747,145.414,109.374,131.398,110.130,141.632,106.642,127.314,0.000
2025-06-08 11:00:00,154.732,139.007,105.520,130.252,141.512,139.510,106.709,127.594,109.125,136.072,104.143,123.867,0.000
2025-06-08 12:00:00,151.670,134.376,102.537,126.428,139.663,134.863,103.585,123.731,107.470,131.691,101.218,120.364,0.000
2025-06-08 13:00:00,148.630,130.491,100.170,125.882,137.460,131.070,101.099,123.012,107.140,128.177,98.873,120.000,0.000
2025-06-08 14:00:00,145.988,126.740,96.772,122.986,134.908,127.259,97.570,120.095,106.150,124.510,95.520,117.339,0.000
2025-06-08 15:00:00,143.747,123.347,94.603,122.175,132.732,123.876,95.311,119.274,105.160,121.326,93.385,116.708,0.000
2025-06-08 16:00:00,141.512,119.555,91.327,118.036,130.575,119.947,91.935,115.221,104.180,117.572,90.212,112.785,0.002
2025-06-08 17:00:00,139.663,116.405,90.396,117.435,129.143,116.815,90.958,114.617,103.530,114.628,89.273,112.318,0.035
2025-06-08 18:00:00,137.460,112.918,88.720,115.972,126.652,113.281,89.224,113.168,102.880,111.259,87.635,110.985,0.006
2025-06-08 19:00:00,134.908,109.900,86.814,112.791,124.185,110.171,87.261,110.008,102.230,108.298,85.806,107.987,0.186
