timestamp,Q_obs,Q_sim_Base_Fixed,Q_sim_Lumped,Q_sim_Manning_Fixed,P_mean
2025-03-31 01:00:00,82.945,71.156624,87.253235,79.42935,
2025-03-31 02:00:00,82.35,70.32594,86.91017,78.42068,
2025-03-31 03:00:00,81.76,71.96177,87.25281,78.5148,
2025-03-31 04:00:00,81.17,71.927124,87.8705,77.70367,
2025-03-31 05:00:00,81.17,71.60516,88.91709,79.345215,
2025-03-31 06:00:00,81.17,71.30166,87.356186,78.96709,
2025-03-31 07:00:00,81.17,70.71879,88.05091,77.87265,
2025-03-31 08:00:00,81.17,73.57969,88.61746,78.67637,
2025-03-31 09:00:00,82.35,73.85887,88.05838,81.182724,
2025-03-31 10:00:00,82.6475,71.33287,87.77144,79.33521,
2025-03-31 11:00:00,83.54,72.35093,88.66892,79.38955,
2025-03-31 12:00:00,84.14,70.32383,88.69783,76.77499,
2025-03-31 13:00:00,84.74,71.83465,87.9765,77.49065,
2025-03-31 14:00:00,85.64,72.225296,86.85113,76.63626,
2025-03-31 15:00:00,85.64,71.277565,87.22458,79.923836,
2025-03-31 16:00:00,85.04,69.983665,88.14676,76.733086,
2025-03-31 17:00:00,84.74,71.515724,87.71854,76.49907,
2025-03-31 18:00:00,83.54,70.92458,86.21153,78.51715,
2025-03-31 19:00:00,83.54,70.0122,86.77818,78.6731,
2025-03-31 20:00:00,83.54,70.39219,87.35606,76.869125,
2025-03-31 21:00:00,83.54,71.225815,86.74725,76.423645,
2025-03-31 22:00:00,84.74,70.21909,86.75709,77.674965,
2025-03-31 23:00:00,86.55,68.05102,85.9375,77.2142,
2025-04-01 00:00:00,88.375,70.43207,86.57395,78.14013,
2025-04-01 01:00:00,91.1425,75.771255,89.53956,86.14058,
2025-04-01 02:00:00,93.94,74.769356,89.23149,83.22471,
2025-04-01 03:00:00,96.145,76.88235,89.56793,84.397446,
2025-04-01 04:00:00,97.09,76.2381,90.158554,82.86463,
2025-04-01 05:00:00,98.37,75.94545,91.25285,85.519356,
2025-04-01 06:00:00,98.37,75.58559,89.65576,83.698944,
2025-04-01 07:00:00,98.05,75.632675,90.35533,83.850494,
2025-04-01 08:00:00,96.775,78.34312,90.95395,84.22919,
2025-04-01 09:00:00,95.2,79.14204,90.30786,86.82872,
2025-04-01 10:00:00,93.94,75.95664,90.09863,84.56322,
2025-04-01 11:00:00,93.0,76.93644,91.014565,84.55028,
2025-04-01 12:00:00,91.14,75.884605,91.00868,82.43278,
2025-04-01 13:00:00,88.985,76.671585,90.340744,83.5024,
2025-04-01 14:00:00,87.4625,76.83279,89.14006,83.30395,
2025-04-01 15:00:00,86.55,76.06684,89.5235,85.377884,
2025-04-01 16:00:00,85.94,75.2529,90.45017,82.63959,
2025-04-01 17:00:00,,76.32053,89.96854,82.7103,
2025-04-01 18:00:00,,75.73883,88.49448,83.79314,
2025-04-01 19:00:00,84.74,74.663246,89.10323,84.313354,
2025-04-01 20:00:00,83.84,75.18552,89.598595,81.913864,
2025-04-01 21:00:00,82.35,75.58501,89.02181,81.51991,
2025-04-01 22:00:00,81.465,75.16536,89.02335,84.16147,
