ottobacia_id,area_km2,cn_2022,tc_base_h,tc_manning_h
0,0.26107562,69.58917,0.93107754,0.92903453
1,0.2584598,73.42395,1.1727554,1.1446241
2,20.672468,59.828857,3.1428385,7.9111814
3,0.014625415,55.174973,12.062565,34.882698
4,37.203697,58.57693,8.34757,24.137335
5,0.0067367167,70.333336,13.253835,9.080859
6,26.580053,70.217995,12.928403,39.052444
7,21.892553,62.441986,10.434377,22.294847
8,11.678097,69.967735,11.846372,34.321285
9,16.426485,54.52924,5.7496033,11.828147
10,13.476405,61.103123,8.783919,17.174023
11,14.023899,69.79127,20.718512,64.13585
12,6.389282,60.29408,7.2320714,17.523525
13,12.877971,63.64781,2.9007115,4.9851437
14,25.281591,65.75452,12.99267,52.983482
15,0.0039459607,69.62476,11.328004,48.548595
16,0.9844688,65.62944,4.3858924,5.3200226
17,16.093164,61.544838,6.9546413,13.902131
18,0.010905984,65.08392,21.927933,21.927933
19,24.301434,71.66384,14.242213,38.148354
20,46.40882,65.77975,6.6125836,17.882767
21,39.17958,70.55441,21.29581,62.395782
22,3.2238789,73.07927,20.326445,47.78304
23,3.2286701,64.41333,4.309129,8.018925
24,3.0736196,63.639664,9.067085,14.149538
25,7.4144597,62.697823,5.962406,13.512657
26,6.100464,72.0057,17.651194,45.402393
27,11.66383,69.92716,13.06153,37.918304
28,13.572473,71.23342,12.2109165,32.157455
29,11.074021,67.92931,17.666744,61.976242
30,76.977425,50.527084,10.337696,23.899273
31,18.987822,60.239025,8.534062,18.55545
32,1.0924,74.510635,17.182196,34.589237
33,13.667311,70.492294,20.997631,62.99509
34,0.070964344,65.802895,17.413319,60.5598
35,3.0297723,63.47267,5.1175966,8.79228
36,33.789803,64.623924,1.6829294,2.470571
37,0.06106181,61.288864,3.844223,12.557092
38,11.169404,70.1639,6.3694706,17.369675
39,3.0007432,56.94946,7.8996,24.46718
40,15.821453,56.287907,12.355839,27.80391
41,14.286783,66.65638,9.391341,35.48392
42,0.12751669,46.939148,11.16741,32.986923
43,16.674831,64.50267,3.4987135,5.80899
44,11.397508,69.363495,21.905684,68.02405
45,0.03107711,53.721714,13.019392,18.021173
46,33.975094,45.447544,7.468242,16.815413
47,22.861805,64.95252,8.790318,11.224115
48,10.623799,61.260166,10.073885,20.75569
49,0.038052354,52.542572,15.136422,31.091154
50,12.091002,56.51187,2.0396576,6.066745
51,9.010159,71.78533,13.403674,36.181843
52,0.2658203,69.27526,18.510077,65.48026
53,29.520159,64.7552,6.3966646,15.053058
54,17.54035,62.412514,2.3413908,4.578081
55,11.124515,60.894463,8.843645,17.995197
56,13.137105,63.236637,8.919097,13.836964
57,0.00050625624,66.64061,8.490157,8.490157
58,17.668835,56.099644,8.124172,13.411848
59,15.89453,68.96643,12.021156,25.34669
60,0.030113926,70.48844,11.022865,24.071127
61,12.172738,61.931408,10.707802,28.740158
62,29.954943,69.72289,12.1743,38.032867
63,16.051626,61.34073,7.8749313,15.749891
64,18.10276,63.41441,3.049601,4.5774493
65,12.218932,68.27715,14.496459,39.229668
66,0.093842044,67.62588,16.513489,44.7591
67,62.003963,43.823895,10.220153,20.249258
68,22.779247,65.11948,11.844157,29.96539
69,0.012310056,60.318325,4.4384704,4.4384704
70,17.877382,73.947784,10.595615,23.302958
71,0.021091582,57.915005,15.116799,26.479284
72,11.721576,72.38256,12.528256,31.90365
73,37.99395,54.392056,12.651511,21.752731
74,12.541475,63.48803,6.6892037,13.422495
75,11.023035,63.647335,3.2033834,5.4223623
76,0.14850038,59.932556,3.366045,10.740999
77,21.785212,61.115715,10.698582,28.136372
78,0.07550585,45.93097,14.270396,41.807587
79,18.66006,57.350544,5.2336035,11.069629
80,6.0096846,64.33246,6.275522,9.786361
81,19.024715,63.142418,3.811122,6.9257975
82,23.559212,56.138386,6.7877803,12.867192
83,45.94184,54.42077,4.783656,8.080504
84,12.442445,57.462585,2.107044,6.254392
85,11.218417,58.79854,2.9267817,7.653441
86,12.799769,58.42498,3.2312489,8.949411
87,0.11948882,63.87815,2.1159337,4.463652
88,30.989058,63.75521,5.2240667,8.579674
89,24.208807,61.511047,6.008567,12.788367
90,11.7105465,65.45219,3.4738102,4.5384054
91,0.70039034,69.51957,2.5126276,2.4908814
92,13.638687,64.797356,7.2166915,17.32084
93,10.763549,63.598484,5.728662,11.816307
94,6.5256076,61.178112,7.179828,16.360956
95,35.55557,69.26168,17.282413,56.38827
96,4.613238,71.780785,14.858947,40.837555
97,12.179234,65.94845,18.65741,75.828995
98,3.0399587,85.92354,19.393303,36.746178
99,12.10295,65.700455,18.605118,76.63837
100,4.1379943,72.52865,19.307823,64.89224
101,20.798252,67.47486,18.724394,69.27647
102,0.009375548,39.335697,12.287297,17.46113
103,7.034649,74.093575,11.785944,25.81348
104,9.548017,61.78206,4.885443,10.049252
105,0.37276942,66.40674,5.8337455,6.7970047
106,4.097142,61.347736,8.128849,16.267887
107,18.753145,61.15692,3.4828057,7.8043346
108,10.40707,62.367043,2.355563,4.6613836
109,0.0004696325,61.32723,3.5814407,3.5814407
110,0.15693559,71.08935,13.073781,41.11995
111,0.111517586,68.92817,11.623606,39.687397
112,0.35202605,69.69255,13.541649,49.241703
113,0.092108764,70.127045,14.123466,50.955734
114,0.08593483,68.690025,14.173677,51.24021
115,0.16004582,71.83714,15.181134,47.088684
116,0.26649112,74.274765,16.732227,57.29398
117,0.06433069,75.122284,20.009386,61.23786
118,0.28203353,72.968704,19.516825,56.214794
119,11.542921,62.42745,10.116649,17.169716
120,2.0280006,63.92722,6.867225,12.46952
121,0.0036544953,64.798645,18.467567,59.00189
122,49.648243,57.571182,13.765061,26.536507
123,0.026586229,68.23856,22.072056,64.66612
124,39.89251,64.58087,8.08121,21.573261
125,25.734602,57.95096,12.713277,27.674162
126,4.427629,64.27186,2.5658832,4.0644884
127,0.044785738,71.28838,22.473644,49.95171
128,12.651879,63.920277,3.4944425,5.73639
129,17.996517,73.69755,12.805876,28.463879
130,15.614179,60.9203,8.390252,18.379368
131,27.106653,67.1765,6.357521,15.279667
132,26.104687,66.84281,18.486553,42.575127
133,0.050265286,61.890457,8.062179,22.80478
134,0.055261917,61.506004,6.105342,15.392557
135,15.463564,63.832726,4.0178924,6.60372
136,0.033966754,72.95668,20.08142,21.031252
137,0.24026324,64.66937,7.55635,15.20392
138,0.072229356,59.910473,8.803392,13.374155
139,0.016326308,54.41786,15.403336,30.018465
140,34.694057,59.754135,10.81639,16.743553
141,15.765466,63.565117,6.0575185,10.114728
142,3.813368,70.73829,6.203896,10.186784
143,23.92105,74.99391,11.039529,21.754152
144,16.986124,65.902,11.154546,28.1443
145,14.19676,62.205315,7.0788903,13.438126
146,17.43384,72.437004,21.979261,54.70183
147,0.23206098,55.30047,14.63141,38.969517
148,6.4328933,66.57594,1.2902957,1.7908533
149,0.032988075,45.583706,14.70321,54.27513
150,65.00043,63.68897,10.847012,21.246014
151,0.0383177,63.50523,3.0613887,3.0613887
152,19.612642,61.258812,5.713926,10.163718
153,49.888374,62.671764,7.3295965,9.41747
154,72.22403,64.9177,9.333552,24.936214
155,25.281288,69.24042,17.077684,56.575993
156,0.59824693,62.9358,1.016429,1.6005698
157,3.2842088,63.42228,11.225079,18.337671
158,2.2430851,62.28918,11.056786,21.575693
159,12.032728,69.03802,16.56046,54.551945
160,20.682198,58.85136,8.198318,21.218798
161,6.801047,69.55222,12.981464,40.124935
162,18.010626,58.17099,10.63438,17.951443
163,0.0805371,46.923916,8.596232,14.439153
164,20.620893,68.44449,6.975345,20.753235
165,0.15485108,62.75139,17.119192,22.53867
166,0.048779376,63.890015,8.8641205,13.154224
167,10.603832,71.372375,12.256258,33.687164
168,2.2285693,65.26092,1.3184106,2.3695147
169,16.27872,64.45255,4.9771447,7.532584
170,9.937597,72.21919,14.937396,38.545815
171,32.735558,72.189995,16.661894,42.89875
172,5.463729,62.411057,6.8898444,14.203107
173,11.084656,61.57818,7.5888004,15.566884
174,17.500942,73.08711,15.918418,37.949493
175,4.5418124,70.08811,17.876547,55.137257
176,12.098222,69.23476,18.465391,64.31482
177,5.6202226,70.518684,17.006107,49.025005
178,0.45953065,58.066868,12.473025,28.85963
179,16.237669,47.195126,8.977265,18.146711
180,10.970912,68.569756,13.181043,43.791153
181,15.659948,74.85476,12.016233,23.498646
182,5.847884,62.39507,5.1328034,9.989993
183,0.13052611,75.40198,17.09719,50.040096
184,0.40768334,60.60922,15.827281,30.844006
185,27.575294,65.150826,2.3010094,3.5614502
186,15.696338,73.92073,11.680592,25.457396
187,7.987965,72.79067,14.887168,35.891724
188,0.0687107,65.11286,22.840248,46.554466
189,22.318357,40.678314,9.113546,20.091461
190,1.9286395,64.01556,5.3185315,8.37761
191,24.536028,68.10967,13.442716,46.14175
192,28.882874,63.654736,5.28463,9.660046
193,11.470218,63.270184,6.810837,12.034005
194,11.485798,67.13126,6.8790007,20.794516
195,15.368218,60.789684,5.102815,11.606281
196,19.451826,73.647514,13.808505,31.087658
197,18.757124,46.47047,8.048118,18.03806
198,0.50609636,64.33607,13.2339945,18.238579
199,0.047092356,67.60462,18.15135,62.011738
200,0.012921041,63.554653,17.987392,28.790777
201,10.409753,65.64461,3.0511246,4.293128
202,35.710045,52.326458,9.541964,19.773188
203,1.0637115,64.894,7.9980903,11.168515
204,0.04917502,62.48919,4.9962273,5.6771617
205,0.01631392,65.33512,17.445099,62.058907
206,22.91198,60.44316,1.8258244,4.491818
207,13.133935,64.778656,4.4147787,6.6386137
208,12.116698,54.41893,9.374775,13.34472
209,15.911491,64.1622,4.4584365,7.1591983
210,22.671688,46.899273,6.7291756,13.362832
211,18.539944,52.701935,6.336868,10.773529
212,11.483201,64.65654,4.8925853,7.216667
